Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,19.583332,22.666668,19.166668,20.833332,2.118521,10207650
1985-02-01,20.833332,22.000000,20.000000,20.500000,2.105519,6254700
1985-03-01,20.416668,20.750000,18.000000,18.833332,1.934338,9164400
1985-04-01,18.833332,20.166668,18.166668,18.666668,1.917220,5724150
1985-05-01,18.583332,20.166668,17.583332,19.250000,1.999839,6225000
1985-06-01,19.333332,19.833332,18.583332,19.166668,1.991182,4892850
1985-07-01,19.000000,19.916668,18.750000,19.333332,2.008497,6191250
1985-08-01,19.250000,19.583332,17.916668,19.083332,2.004799,4630050
1985-09-01,19.250000,19.333332,17.416668,17.666668,1.855972,4361550
1985-10-01,17.666668,18.166668,16.500000,17.583332,1.847217,4843950
1985-11-01,17.500000,20.916668,17.416668,20.583332,2.189755,9335850
1985-12-01,20.416668,21.583332,19.916668,20.500000,2.180890,8305350
1986-01-01,20.416668,22.083332,19.750000,21.750000,2.313869,8604600
1986-02-01,21.750000,24.416668,21.666668,24.416668,2.625541,11003700
1986-03-01,24.416668,25.833332,23.000000,25.666668,2.759954,13166250
1986-04-01,25.583332,26.833332,23.500000,24.500000,2.634501,9395250
1986-05-01,24.416668,25.250000,21.916668,24.750000,2.684729,7460100
1986-06-01,24.666668,24.833332,22.583332,23.250000,2.522019,7458300
1986-07-01,23.166668,23.250000,20.333332,21.916668,2.377387,8491500
1986-08-01,21.916668,25.000000,20.833332,24.583332,2.694120,10086450
1986-09-01,24.416668,25.833332,22.500000,23.166668,2.538865,11862750
1986-10-01,23.166668,26.166668,23.000000,26.083332,2.858505,11799450
1986-11-01,26.250000,26.833332,24.500000,26.250000,2.902093,9745800
1986-12-01,26.166668,27.500000,25.000000,25.166668,2.782326,11130000
1987-01-01,25.250000,33.416668,25.250000,31.750000,3.510150,25596450
1987-02-01,31.583332,35.333332,30.333332,34.750000,3.868712,12538350
1987-03-01,34.750000,39.583332,33.583332,37.833332,4.211979,22038000
1987-04-01,37.000000,40.000000,33.000000,36.583332,4.072816,18165300
1987-05-01,36.666668,37.666668,29.833332,32.666668,3.659872,15439200
