Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,0.000000,2.629630,2.197531,2.592593,0.787213,14128425
1985-02-01,0.000000,2.604938,2.395062,2.413580,0.732857,12526650
1985-03-01,0.000000,2.419753,2.259259,2.283951,0.693497,14806800
1985-04-01,0.000000,2.296296,1.975309,1.981481,0.601655,14778450
1985-05-01,0.000000,2.296296,1.962963,2.271605,0.689748,20221650
1985-06-01,0.000000,2.283951,2.000000,2.037037,0.618524,8620425
1985-07-01,0.000000,2.320988,2.000000,2.259259,0.685999,9564075
1985-08-01,0.000000,2.259259,2.209877,2.246914,0.682250,15695775
1985-09-01,0.000000,2.246914,2.160494,2.166667,0.657885,6607575
1985-10-01,0.000000,2.185185,1.975309,1.975309,0.599781,8073675
1985-11-01,0.000000,2.098765,1.975309,2.086420,0.633519,8829000
1985-12-01,0.000000,2.345679,2.061728,2.296296,0.697245,11955600
1986-01-01,0.000000,2.320988,2.135802,2.296296,0.697245,13587750
1986-02-01,0.000000,2.395062,2.271605,2.370370,0.719737,23325975
1986-03-01,0.000000,2.765432,2.370370,2.703704,0.820950,14247900
1986-04-01,0.000000,2.827160,2.654321,2.802469,0.850939,12808125
1986-05-01,0.000000,2.802469,2.679012,2.790123,0.847190,21155175
1986-06-01,0.000000,2.876543,2.790123,2.839506,0.862185,10959300
1986-07-01,0.000000,2.876543,2.296296,2.320988,0.704743,17643825
1986-08-01,2.296296,2.320988,2.098765,2.246914,0.682250,10643400
1986-09-01,2.271605,2.271605,2.024691,2.049383,0.622273,9140850
1986-10-01,2.074074,2.358025,2.061728,2.345679,0.712240,11593125
1986-11-01,2.345679,2.444444,2.283951,2.401235,0.729109,11738925
1986-12-01,2.419753,2.469136,2.308642,2.308642,0.700994,14051475
1987-01-01,2.320988,2.827160,2.308642,2.691358,0.817201,12686625
1987-02-01,2.679012,2.827160,2.641975,2.827160,0.858436,11159775
1987-03-01,2.802469,2.987654,2.716049,2.901235,0.880929,34281225
1987-04-01,2.888889,3.370370,2.876543,3.345679,1.015879,27309150
1987-05-01,3.345679,3.765432,3.333333,3.753086,1.139584,26033400
1987-06-01,3.765432,3.864198,3.382716,3.407407,1.034622,17670150
1987-07-01,3.407407,3.481481,3.259259,3.333333,1.012130,20812950
1987-08-01,3.308642,3.839506,3.308642,3.456790,1.049617,18457875
1987-09-01,3.456790,3.765432,3.370370,3.740741,1.135836,14035275
1987-10-01,3.740741,3.833333,2.148148,2.407407,0.730983,25241625
1987-11-01,2.419753,2.987654,2.419753,2.641975,0.802207,23008050
1987-12-01,2.716049,3.061728,2.543210,2.814815,0.860597,21554100
1988-01-01,2.839506,3.074074,2.666667,3.061728,0.936089,11088900
1988-02-01,3.061728,3.358025,3.012346,3.358025,1.026678,11453400
1988-03-01,3.358025,3.777778,3.358025,3.777778,1.162001,16536150
1988-04-01,3.777778,3.851852,3.604938,3.629630,1.116433,14691375
1988-05-01,3.629630,3.679012,3.333333,3.530864,1.086053,8221500
1988-06-01,3.530864,3.827160,3.481481,3.703704,1.154067,15424425
1988-07-01,3.703704,3.777778,3.629630,3.703704,1.154067,8047350
1988-08-01,3.703704,3.851852,3.234568,3.629630,1.130987,27788068
1988-09-01,3.679012,4.123457,3.555556,4.098765,1.277168,12109505
1988-10-01,4.098765,4.222222,3.975309,4.148148,1.292556,9937693
1988-11-01,4.148148,4.345679,3.728395,4.345679,1.354106,11218505
1988-12-01,4.320988,4.345679,3.827160,4.049383,1.275373,17183142
1989-01-01,4.049383,4.493827,4.000000,4.444444,1.421605,14372444
1989-02-01,4.469136,4.469136,4.049383,4.172840,1.334729,12405155
1989-03-01,4.172840,4.864198,4.148148,4.777778,1.528225,13010630
1989-04-01,4.790123,5.012346,4.691358,4.962963,1.587459,21621943
1989-05-01,4.962963,5.185185,4.888889,4.913580,1.571662,7949142
1989-06-01,4.888889,4.962963,4.814815,4.888889,1.583361,13246545
1989-07-01,4.839506,4.888889,4.444444,4.518519,1.463410,16795356
1989-08-01,4.518519,4.987654,4.481481,4.938272,1.599355,14114256
1989-09-01,4.913580,5.012346,4.049383,4.074074,1.337642,11642743
1989-10-01,4.074074,4.419753,3.950617,4.123457,1.353856,18922618
1989-11-01,4.123457,4.395062,3.728395,4.395062,1.443033,8331870
1989-12-01,4.345679,4.518519,3.876543,4.222222,1.409311,8193156
1990-01-01,4.172840,4.370370,3.654321,3.777778,1.280604,13839868
1990-02-01,3.802469,4.222222,3.728395,4.222222,1.431263,10364968
